V0,V1,V2,V3,V4,V6,V7,V8,V10,V12,V13,V14,V15,V16,V18,V19,V20,V21,V23,V24,V25,V26,V27,V29,V30,V31,V32,V33,V34,V35,V36,V37,target
4.147084,5.841184,0.918479,0.921088,1.205738,1.864357,1.568184,3.799373,0.262782,1.495579,1.235515,0.361986,0.305910,1.892790,0.516549,0.486202,0.354414,0.808036,11.581656,0.531587,0.236555,1.771168,8923.054505,0.300080,1.788352,15.555187,1.958944,0.000000,0.000000,0.519843,0.000000,0.018284,0.175000
4.988271,7.279840,0.984897,0.964538,1.110508,2.148236,1.568184,5.377114,0.493786,1.463960,1.470749,0.361323,0.305910,2.747408,0.516995,0.520674,0.353129,0.764330,11.588423,0.531820,0.239087,1.914309,11039.701316,0.280397,1.800049,21.939731,2.208823,0.390305,0.598083,9.178637,0.369734,0.407834,0.676000
5.090224,7.783637,1.040170,0.911078,1.081218,2.401542,1.568184,5.529584,0.655989,1.496101,1.324316,0.360494,0.288524,3.267850,0.518556,0.584395,0.352426,0.799616,11.574893,0.569035,0.241521,1.835557,10875.927640,0.289379,1.992162,24.904398,1.595903,0.390305,0.598083,9.178637,0.611879,0.426451,0.633000
4.481728,7.025646,1.056127,0.856314,1.262126,2.631664,1.888754,5.546472,0.454651,1.526601,1.325149,0.380665,0.292678,3.572213,0.516326,0.582994,0.334126,0.798088,11.554624,0.677685,0.247081,1.826269,10230.746478,0.291168,2.039607,24.929990,2.211686,0.390305,0.566738,9.178637,0.511483,0.488736,0.206000
4.381416,8.064594,1.048467,0.867969,1.162709,2.818014,1.888754,5.334858,0.398723,1.642254,0.900390,0.385444,0.294660,3.636096,0.516772,0.623137,0.323719,0.886634,11.554624,0.550463,0.250334,1.560254,10957.524880,0.303493,2.663214,25.564331,2.039935,0.390305,0.546056,9.178637,0.380802,0.499597,0.384000
3.917127,8.019889,1.098219,0.870891,1.208009,2.915793,2.139954,5.737535,0.345550,1.695723,1.385423,0.384949,0.314781,3.735388,0.516549,0.594235,0.318787,0.790566,11.534386,0.531120,0.251048,1.690501,11289.744692,0.322661,2.267823,25.959720,2.226037,0.390305,0.535779,9.178637,0.398937,0.387524,0.060000
4.813195,7.201676,1.178424,0.907301,1.121341,3.233778,2.243270,6.381211,0.397679,1.771411,1.268700,0.392354,0.314781,3.735388,0.513655,0.587669,0.326885,0.814613,11.554624,0.531820,0.255272,1.617226,11938.512923,0.322661,1.766661,24.472866,2.085406,0.390305,0.535779,9.178637,0.406353,0.329131,0.415000
5.024334,7.630694,1.201030,0.929503,1.133693,3.458308,2.394292,6.446524,0.437752,1.683235,1.329736,0.378025,0.325211,4.478035,0.515212,0.606259,0.333012,0.803441,11.649475,0.531120,0.260153,1.578606,12057.482044,0.300299,1.667640,26.903430,1.593614,0.390305,0.535779,9.178637,0.460209,0.385393,0.609000
4.943480,8.967900,1.158815,0.935220,1.259017,3.622758,2.709148,6.473899,0.497603,1.749219,0.921506,0.398268,0.328999,4.684507,0.518110,0.676705,0.332764,0.886746,11.649475,0.531120,0.260631,1.360648,13326.945126,0.303855,2.082649,29.308194,1.641365,0.390305,0.535779,9.178637,0.450106,0.431189,0.981000
5.427606,9.920678,1.177721,0.978625,1.635540,3.584264,2.709148,7.056517,0.484178,1.930399,0.973703,0.394162,0.330844,4.745211,0.517887,0.584629,0.333569,0.879012,11.595193,0.189345,0.258258,1.299254,13692.988849,0.349842,2.073125,34.371550,1.717194,0.390305,0.535779,9.178637,0.471262,0.350857,0.818000
5.329795,10.200219,1.168599,0.984724,1.390376,3.504671,2.891938,6.832826,0.479065,2.187606,1.187363,0.399580,0.381836,4.674106,0.516103,0.626244,0.330898,0.832991,11.656275,0.008485,0.253173,1.228418,13845.459627,0.349842,1.633086,32.366398,1.352960,0.390305,0.535779,9.178637,0.427404,0.447854,0.877000
5.275540,10.239978,1.137290,1.028928,1.404454,3.622758,2.941857,7.283180,0.641864,2.463766,0.865932,0.387090,0.388362,4.931208,0.517663,0.852270,0.328144,0.983050,6.400266,0.008220,0.251700,1.142666,10875.927640,0.398282,2.343421,34.150967,1.236724,0.390305,0.274779,6.978160,0.427404,0.513387,1.077000
2.276789,3.390300,0.817606,1.143098,0.983994,3.289639,3.014385,2.850371,0.457707,1.322203,0.988406,0.380665,0.420031,4.955145,0.514322,0.840499,0.272265,1.112687,6.396199,0.007955,0.245309,1.167799,5084.399459,0.410662,1.285751,12.952831,1.180191,0.390305,0.274779,6.978160,0.528866,0.733253,-1.099000
